,city,city_lat,city_lon,city_temp,city_hum,city_cloud,city_wind,city_country,city_date
352,quelimane,-17.88,36.89,95.0,47,20,18.34,MZ,1604924930
353,kodiak,57.79,-152.41,42.8,35,1,27.51,US,1604924637
354,salekhard,66.53,66.6,18.41,97,100,3.51,RU,1604924930
355,mirabela,-16.26,-44.16,78.8,54,0,3.36,BR,1604924931
356,ivanava,52.15,25.54,48.02,73,71,4.25,BY,1604924931
357,goure,13.98,10.27,87.01,21,4,8.99,NE,1604924931
358,rio grande,-32.03,-52.1,68.0,77,90,14.99,BR,1604924925
359,yelizovo,53.19,158.38,21.2,67,93,11.18,RU,1604924932
360,masuguru,-11.37,38.42,102.0,22,96,7.47,TZ,1604924932
361,saint-pierre,-21.34,55.48,78.8,74,75,24.16,RE,1604924933
362,kolomak,49.84,35.3,51.94,56,83,5.06,UA,1604924933
363,konakovo,56.7,36.77,37.22,78,11,11.27,RU,1604924933
364,pacifica,37.61,-122.49,48.99,52,1,8.05,US,1604924838
365,gorontalo,0.54,123.06,76.41,79,56,4.05,ID,1604924934
366,lebyazhye,55.27,66.49,32.47,95,91,14.0,RU,1604924727
367,beloha,-25.17,45.05,103.75,10,10,12.95,MG,1604924935
368,greencastle,39.64,-86.86,57.2,76,40,5.82,US,1604924905
369,melville,40.79,-73.42,46.4,87,1,3.0,US,1604924935
370,pevek,69.7,170.31,18.66,93,100,7.14,RU,1604924936
371,kavaratti,10.57,72.64,84.27,73,45,7.96,IN,1604924860
372,asau,46.43,26.4,54.0,72,69,3.6,RO,1604924936
373,yagodnoye,62.55,149.67,-2.92,89,100,3.2,RU,1604924937
374,novikovo,51.15,37.89,49.69,61,51,6.87,RU,1604924937
375,atherton,53.52,-2.49,59.0,75,99,1.99,GB,1604924937
376,portland,45.52,-122.68,35.01,86,75,1.07,US,1604924766
377,xinqing,48.23,129.5,7.25,90,0,3.58,CN,1604924938
378,sulangan,11.14,123.72,83.21,75,66,3.89,PH,1604924939
379,otjiwarongo,-20.46,16.65,91.4,15,55,2.24,NA,1604924939
380,kendari,-3.94,122.5,77.77,83,97,3.8,ID,1604924939
381,dargaville,-35.93,173.88,51.31,92,74,4.65,NZ,1604924940
382,monticello,45.31,-93.79,64.0,77,90,2.91,US,1604924940
